assetId,assetName,missingDataRate,1,2,3,4,5,6,7,81,82,83,9,10,11,12,13,14,Proximity to public transport infrastructure,Proximity of resources,Accessibility by car,Proximity to metropolitan center,Air quality,Safety of the area,Noise prevention (Peacefulness),Security of natural environment,"Security of technological, industrial and mining environment",Prestige of the building's location,Stability of competition,Attractiveness of neighbourhood,market,floorArea,propertyType,propertySubType,vintageModel,status,cause,version,external,ipc,streetNumber,street,zipCode,city,state,country,manualAddress,latitude,longitude,transactionType,value,transactionDate,year,floorVacancyRate,tenantStatus,nature,transactionShare,source,cartodb_id
id_1,"53-55 Rue Jean Jaurès, 59000 Lille",0,12,23,31,41,52,,73,811,821,831,92,102,111,122,131,141,"4,33674091","4,587178807","3,90847248","3,944922168","4,595206021","5,071736156","3,930077715","6,590642051","7,213986061","5,365918972","3,99048","4,403188397",Lille office market,2647,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,53-55,Rue Jean Jaurès,59000,Lille,,France,,50.62025,3.07544,SALE,2 000 000,2022-01-01,2022,"0,16",MULTI_TENANT,TRANSACTION,,,
id_2,"159 bis avenue de la Marne, 59700 Marcq-en-Barœul",0,12,,31,41,52,62,72,811,821,831,92,102,112,122,131,141,"4,204809386","3,914886693","3,300971704","3,382875685","4,771228885","5,551587365","3,029182399","6,569595003","7,135772986","5,092342939","3,99048","4,342582184",Lille office market,2900,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,159,bis avenue de la Marne,59700,Marcq-en-Barœul,,France,,50.68009,3.11058,SALE,5 000 000,2022-05-01,2022,"0,15",MULTI_TENANT,TRANSACTION,,,
id_3,"46 rue des Fusillés, 59491 Villeneuve-d'Ascq",0,12,,33,41,52,62,72,812,821,832,91,102,112,122,131,141,"3,881356442","3,939544087","3,397201062","3,462465994","4,77812164","5,575443086","3,029264873","6,570634193","7,149179511","5,132293673","3,99048","4,34602637",Lille office market,4442,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,46,rue des Fusillés,59491,Villeneuve-d'Ascq,,France,,50.61757,3.14608,SALE,14 100 000,2022-10-01,2022,0,SINGLE_TENANT,TRANSACTION,,,
id_4,"6 impasse Alice Guy, 31000 Toulouse",0,12,23,34,43,52,62,72,812,821,831,91,102,112,121,131,141,"3,681635901","4,627021999","2,598772313","4,033130272","4,655207348","5,023725071","1,206044567","6,570306242","7,233093186","5,571665092","3,99048","4,319258051",Toulouse office market,21092,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,6,impasse Alice Guy,31000,Toulouse,,France,,43.60005,1.36259,SALE,50 000 000,2022-07-01,2022,0,MULTI_TENANT,TRANSACTION,,,
id_5,"7-8 esplanade Compans Caffarelli, 31000 Toulouse",0,13,,32,42,54,63,71,812,821,831,91,102,111,121,131,141,"5,703562093","5,038551089","2,41666281","4,436633262","4,409372638","4,794385867","1,157515371","6,504870432","7,263682361","5,696917112","3,99048","4,479666227",Toulouse office market,8769,OFFICES,TOUR_IGH,O2019,ACTUAL,INITIAL,V0,Internal,,7-8,esplanade Compans Caffarelli,31000,Toulouse,,France,,43.61073,1.43519,SALE,33 330 000,2022-09-01,2022,0,MULTI_TENANT,TRANSACTION,,,
id_6,"68 chemin du Moulin Carron, 69570 Dardilly",0,12,23,34,42,52,62,71,812,821,831,91,102,112,122,131,141,"3,831082279","3,989665507","3,920156417","3,465022283","4,932727824","5,229983607","3,985131824","6,717677172","7,116813818","5,178407818","3,99048","4,154928609",Lyon office market,8100,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,68,chemin du Moulin Carron,69570,Dardilly,,France,,45.80157,4.76911,SALE,35 000 000,2022-09-01,2022,0,MULTI_TENANT,TRANSACTION,,,
id_7,"53 rue Jean Zay, 69800 Saint-Priest",0,12,,34,41,52,62,72,812,821,831,93,102,112,121,131,141,"3,63868969","3,988313301","3,369189206","3,361641325","4,907040524","5,308814514","3,058226032","6,676843399","7,11664409","5,168857855","3,99048","4,162729914",Lyon office market,2595,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,53,rue Jean Zay,69800,Saint-Priest,,France,,45.71011,4.90583,SALE,6 700 000,2022-03-01,2022,0,MULTI_TENANT,TRANSACTION,,,
id_8,"22 rue Marius Grosso, 69120 Vaulx-en-Velin",0,12,,34,43,52,61,72,812,821,831,91,102,112,121,131,141,"3,474708404","3,885194872","3,183189503","3,412747677","4,911650793","5,247427473","3,084509301","6,73863479","7,088037264","5,1595738","3,99048","4,155428084",Lyon office market,10871,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,22,rue Marius Grosso,69120,Vaulx-en-Velin,,France,,45.76355,4.93446,SALE,20 000 000,2022-03-01,2022,0,MULTI_TENANT,TRANSACTION,,,
id_9,"49 Rue du Dauphiné, 69800 Saint-Priest",0,12,21,35,41,52,61,72,811,821,831,93,102,113,,131,141,"3,488248791","4,007324617","3,021115418","3,34753622","4,914883647","5,38201678","2,136025672","6,623108468","7,142325985","5,236060966","3,99048","4,15241932",Lyon office market,2500,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,49,Rue du Dauphiné,69800,Saint-Priest,,France,,45.7122,4.91984,SALE,8 400 000,2022-03-01,2022,0,SINGLE_TENANT,TRANSACTION,,,
id_10,"24 avenue Joannès Masset, 69009 Lyon",0,12,21,32,41,52,62,72,812,821,831,92,102,112,122,132,141,"4,301432758","4,462174038","3,695198161","3,843985194","4,58964564","5,093231337","3,933546541","6,618306667","7,185148217","5,309105205","3,99048","4,378811106",Lyon office market,3111,OFFICES,STANDARD,O2019,ACTUAL,INITIAL,V0,Internal,,24,avenue Joannès Masset,69009,Lyon,,France,,45.76971,4.80083,SALE,13 750 000,2022-03-01,2022,0,MULTI_TENANT,TRANSACTION,,,
