asset_version_id,asset_id,client_name,default_vintage_model_id,name_y,version_actif,type,status,asset_building_type,surface,accessible_entrance,accessible_lift,accessible_toilets,aem,air_conditioning_system,air_filtration,alt_gen,appli_security,asbestos,auditorium,bim_and_buildings_structure_data,bms_light,bms_thermal,carcass,caretaker,catering,ceiling_height,central,central_core_elevator_lobby_ccel,circulation,co2_hvac,co2_parking,compliance_score,corridor,data_security,daylight,dead_spaces,delivery,digital_services,double_glazing,elevator_distribution,end_point_security,energy_diagnosis,entrance,external_acoustic_insulation,external_structure,facade,fibre_distribution,fibre_equipment,fire_detection,fire_protection_systems,flood_resist,freight_elevator,garden_and_atrium,hermetic_envelope,hotel,hvac_age,hvac_obsolescence,hygrometry,industrial_technological_resist,inter_slab,internal_acoustic_insulation,internal_structure,internet_redundancy,internet_type,itc,last_refurbishment,lead,light_control,lighting_obsolescence,lobby,max_dens,meeting_zone,mining_resist,mobile_phone_signal,multifamily,network_security,nursery,parkings,physical_security,pml_seismic,proximity,public_access,raised_floor,reception,refurbishment_workspace,renewable_energy,restaurant,retail,reverberation,secure_telecom,secured_spaces,signature,smoke,south,spare_capacity,stairs,steps,suspended_ceiling,systems_back_up,telecom_age,terminal,terrace,thickness,training_room,transfer,transparency,typhoon_resist,upper_transfer,ups,ventilation,versatility_of_spaces,vertical_ways,view,voc_reduction,wall_insulation,wastes_sorting,water_obsolescence,water_recycling
8051,957,SFL,12,Edouard VII,V4,BaseAssetVersion,ACTUAL,HAUSSMANIEN,29110,0,0,0,0,2,1,2,1,0,1,-2,2,2,0,1,1,-1,0,1,0,2,2,1,0,1,0,0,1,1,0,-1,1,0,1,0,0,1,1,2,0,1,,1,1,0,1,-2,-2,1,,-2,1,-1,1,1,1,1,0,1,-2,0,,1,,1,1,1,0,0,1,2,-1,1,0,1,2,0,1,1,1,1,0,1,1,2,1,-1,0,0,1,-2,-1,2,-2,1,0,-1,,0,2,0,0,1,2,0,0,1,1,0
8030,953,SFL,12,106 Haussmann,V4,BaseAssetVersion,ACTUAL,STANDARD,13251,0,0,0,0,2,1,2,,0,1,-2,2,2,0,1,1,-1,0,1,0,2,2,1,0,1,0,0,1,1,0,0,1,-2,1,0,0,1,1,2,0,1,1,1,1,0,1,2,2,1,,-1,1,-1,,1,1,2,0,1,2,2,2,1,,1,1,,0,-1,1,2,0,1,0,1,2,0,-1,-1,1,1,0,,,1,1,-1,0,0,1,2,-1,2,-2,0,-1,-1,,0,2,0,0,1,2,2,0,1,1,0
8061,973,SFL,12,Le Vaisseau,V5,BaseAssetVersion,ACTUAL,STANDARD,6404,0,0,0,0,2,1,2,1,0,0,-2,2,2,0,1,1,-2,0,1,0,2,0,1,0,1,1,0,1,-1,0,0,-1,,0,0,0,-1,1,2,0,1,1,1,1,0,1,1,0,-1,,-2,1,0,0,1,1,-2,0,1,0,2,1,1,-1,1,1,1,0,0,1,2,2,0,-1,1,2,0,1,-1,-1,1,0,1,1,1,1,0,0,0,1,0,-1,2,1,1,0,0,,0,2,0,0,1,1,1,0,1,1,0
8035,976,SFL,12,131 Wagram,V4,BaseAssetVersion,ACTUAL,STANDARD,9200,0,0,0,0,2,1,2,1,0,0,-2,2,2,0,1,1,-1,0,0,0,2,2,1,0,1,2,0,1,-1,0,0,1,,1,0,0,1,1,2,0,1,,1,1,0,1,-1,-2,-1,,-1,1,-1,1,1,0,-2,0,0,-2,2,,1,,1,1,1,0,0,1,2,0,0,0,1,-2,0,-1,-1,1,1,0,0,0,1,1,0,0,0,1,2,0,2,0,0,-1,1,,0,2,0,0,1,2,2,0,1,1,0
8005,660,SFL,12,Cloud,V3,BaseAssetVersion,ACTUAL,STANDARD,38000,0,0,0,,2,1,2,1,0,1,-2,2,2,0,1,1,-1,0,1,0,2,2,1,0,1,-2,0,1,1,0,0,1,1,2,0,0,2,1,2,0,1,1,0,1,0,1,1,1,1,,1,1,1,0,1,1,1,0,1,1,2,-1,1,-1,1,1,1,0,0,1,2,0,1,0,1,2,1,1,-1,1,1,0,1,1,1,1,0,0,0,1,1,-1,2,-2,1,0,-1,,0,2,0,0,1,2,1,0,1,1,1
8001,661,SFL,12,Cezanne,V2,BaseAssetVersion,ACTUAL,STANDARD,22300,0,0,0,0,2,1,2,-1,0,1,-2,2,2,0,1,1,-1,0,1,0,2,2,1,0,-1,1,0,1,1,0,0,-1,,1,0,0,1,1,2,0,1,,1,1,0,1,-1,2,1,,1,1,1,0,1,1,2,0,1,2,2,0,1,-1,1,1,-1,0,-1,1,2,-1,1,0,1,2,0,1,-1,1,1,0,1,1,0,1,0,0,0,,2,-1,2,-2,0,0,0,,0,2,0,0,1,2,2,0,1,1,0
8017,951,SFL,12,90 Champs Elysees,V2,BaseAssetVersion,ACTUAL,STANDARD,7912,0,0,0,0,2,1,0,1,0,0,1,2,2,0,1,1,-1,0,1,0,2,2,1,0,1,-2,0,1,1,0,-1,1,-1,1,-1,0,1,1,2,0,1,,1,1,0,1,1,1,-1,,-1,1,0,1,1,1,0,0,1,1,1,0,1,-1,1,1,1,0,0,1,2,2,0,0,1,2,0,1,1,1,1,0,,1,1,1,-1,0,0,1,0,-1,2,-2,0,,-1,,0,0,0,0,1,2,1,0,1,1,0
8021,952,SFL,12,92 Champs Elysees,V2,BaseAssetVersion,ACTUAL,HAUSSMANIEN,7198,0,0,0,0,2,1,2,1,0,0,1,2,2,0,1,1,2,0,1,0,2,,1,0,1,1,0,1,1,0,0,1,-1,1,0,0,2,1,2,0,1,,1,1,0,1,1,2,-1,,1,1,-1,1,1,1,1,0,1,1,0,1,1,-1,1,1,1,0,-1,1,2,1,0,0,1,2,0,-1,1,-1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,,-1,,0,0,0,0,1,2,0,0,1,1,1
7991,619,SFL,12,176 CDG,V4,BaseAssetVersion,ACTUAL,STANDARD,10728,0,0,0,0,2,1,2,1,0,1,-2,2,2,0,1,1,-1,0,0,0,2,0,1,0,1,1,0,1,1,0,-1,1,,1,0,0,0,,2,0,1,,0,1,0,1,2,2,,,-1,1,0,1,1,1,2,0,0,2,2,-1,1,,,1,1,0,0,1,2,2,1,,1,2,0,-1,-1,,1,0,,,1,,-1,0,0,,2,-1,2,-2,1,-1,0,,0,2,0,0,1,1,,0,1,1,0
8025,954,SFL,12,103 Rue de Grenelle,V4,BaseAssetVersion,ACTUAL,STANDARD,16084,0,0,-1,0,2,1,0,1,0,1,-2,2,2,0,1,1,-1,-1,1,0,2,0,1,0,1,2,0,1,1,0,0,1,0,1,0,0,2,1,2,0,1,,1,1,0,1,-1,-1,1,,-1,1,-1,1,1,1,-2,0,,1,1,2,1,,1,1,1,0,0,1,2,-1,0,0,1,2,0,1,-1,1,1,0,1,0,1,1,0,0,0,1,-2,0,2,-2,1,-1,0,,0,2,0,0,1,2,,0,1,1,
